time_s,altitude_km,velocity_ms,mach,heat_flux_Wm2
6.007621456849986608e+00,1.156239059764941146e+02,7.599944346065215541e+03,2.772674141024780781e+01,1.650025270613937028e+04
6.041950785655881617e+00,1.155988997249312433e+02,7.599944152438726633e+03,2.772674070384374190e+01,1.652823063812880355e+04
6.076280115336417431e+00,1.155738934733683436e+02,7.599943958138592279e+03,2.772673999498202591e+01,1.655625638215703657e+04
6.110609445894616520e+00,1.155488872218054439e+02,7.599943763162466894e+03,2.772673928365410845e+01,1.658433001052679538e+04
6.144938777333512903e+00,1.155238809702425584e+02,7.599943567507999433e+03,2.772673856985140262e+01,1.661245159576127116e+04
6.179268109656210761e+00,1.154988747186796729e+02,7.599943371172830666e+03,2.772673785356530729e+01,1.664062121060258505e+04
6.213597442865744114e+00,1.154738684671167874e+02,7.599943174154592270e+03,2.772673713478718227e+01,1.666883892800991816e+04
6.247926776965239348e+00,1.154488622155538877e+02,7.599942976450905917e+03,2.772673641350834828e+01,1.669710482115803825e+04
6.282256111957772227e+00,1.154238559639909880e+02,7.599942778059388729e+03,2.772673568972011537e+01,1.672541896343574990e+04
6.316585447846430057e+00,1.153988497124281167e+02,7.599942578977647827e+03,2.772673496341375099e+01,1.675378142844423928e+04
6.350914784634370314e+00,1.153738434608652170e+02,7.599942379203280325e+03,2.772673423458049058e+01,1.678219228999586630e+04
6.385244122324701621e+00,1.153488372093023173e+02,7.599942178733876972e+03,2.772673350321154118e+01,1.681065162211244024e+04
6.419573460920544150e+00,1.153238309577394460e+02,7.599941977567021240e+03,2.772673276929808850e+01,1.683915949902401917e+04
6.453902800425087349e+00,1.152988247061765463e+02,7.599941775700284779e+03,2.772673203283127563e+01,1.686771599516756760e+04
6.488232140841473594e+00,1.152738184546136466e+02,7.599941573131233781e+03,2.772673129380221724e+01,1.689632118518552306e+04
6.522561482172855030e+00,1.152488122030507611e+02,7.599941369857423524e+03,2.772673055220200311e+01,1.692497514392468656e+04
