nodenumber     x-coordinate     y-coordinate     z-coordinate     y-coordinate pressure-coefficient 
       223  7.201845646E-01  3.927885890E-01 -1.600700259E+00  3.927885890E-01  4.449569285E-01 
       224 -7.179926634E-01  3.881593049E-01 -1.597851157E+00  3.881593049E-01  4.871533215E-01 
       225  6.853443980E-01  8.328496218E-01 -1.597520828E+00  8.328496218E-01  2.831911668E-02 
       226 -6.144310236E-01  3.459392488E-01 -1.594839931E+00  3.459392488E-01  7.897396088E-01 
       227 -3.131319955E-02  2.921041250E-01 -1.594563246E+00  2.921041250E-01  1.141857982E+00 
       228  2.704928219E-01  1.363031387E+00 -1.593539476E+00  1.363031387E+00  2.013141289E-02 
       229 -8.360743523E-01  5.113857985E-01 -1.593274951E+00  5.113857985E-01  1.112841591E-01 
       230  6.170122623E-01  3.452955484E-01 -1.592929721E+00  3.452955484E-01  7.297618985E-01 
       231 -4.491168261E-01  3.152177036E-01 -1.592448235E+00  3.152177036E-01  1.008734703E+00 
       232  4.491168261E-01  3.152177036E-01 -1.592448235E+00  3.152177036E-01  1.093905687E+00 
       233 -9.388187528E-02  2.920433581E-01 -1.591944456E+00  2.920433581E-01  1.130012035E+00 
       234 -2.392978668E-01  1.391183615E+00 -1.591459513E+00  1.391183615E+00  3.474761918E-02 
       235 -4.751076400E-01  1.180120945E+00 -1.591035604E+00  1.180120945E+00  2.989842556E-02 
       236  8.499974012E-02  2.914870679E-01 -1.590972662E+00  2.914870679E-01  1.179431796E+00 
       237 -8.579170704E-02  1.456366777E+00 -1.590669513E+00  1.456366777E+00  3.221412003E-02 
       238  8.295986801E-02  1.459226608E+00 -1.590094328E+00  1.459226608E+00  2.748005837E-02 
       239  3.530898988E-01  1.314338923E+00 -1.589547396E+00  1.314338923E+00  1.919611543E-02 
       240  5.610955358E-01  1.075508237E+00 -1.588543653E+00  1.075508237E+00  2.309318259E-02 
       241 -3.391718268E-01  1.330511093E+00 -1.588531852E+00  1.330511093E+00  3.473960236E-02 
       242 -6.283488870E-01  9.775915146E-01 -1.586933613E+00  9.775915146E-01  2.269187756E-02 
       243  1.562986523E-01  2.920035720E-01 -1.586926818E+00  2.920035720E-01  1.215779424E+00 
       244  8.030978441E-01  6.386073828E-01 -1.586899281E+00  6.386073828E-01  3.941163421E-02 
